neighbor_0_id,neighbor_1_id,neighbor_2_id,neighbor_3_id,neighbor_4_id,neighbor_5_id,neighbor_6_id,neighbor_7_id,neighbor_8_id,neighbor_9_id,neighbor_0_dist,neighbor_1_dist,neighbor_2_dist,neighbor_3_dist,neighbor_4_dist,neighbor_5_dist,neighbor_6_dist,neighbor_7_dist,neighbor_8_dist,neighbor_9_dist
158643,208316,201582,120942,175229,612026,589937,289919,742019,306513,3.949463399433029e-06,6.41153285219076e-06,6.786583806595026e-06,8.350615554486573e-06,1.0286190094577208e-05,1.131012621702343e-05,1.2465515223047952e-05,1.404605766119893e-05,1.428726788299528e-05,1.5128691038146513e-05
454714,943371,161097,680989,507436,947759,699436,53340,517070,111333,6.296220187440582e-07,1.896064499296024e-06,1.901108009016994e-06,3.386343650269019e-06,3.992113720041601e-06,4.586536088257986e-06,4.975589494526922e-06,5.560357455247633e-06,5.815715273804756e-06,9.442519530944438e-06
811102,636151,827842,559734,196021,64542,702433,20134,919223,858302,3.7934245729065452e-06,4.213739310254816e-06,5.5120723353452306e-06,6.524844654798301e-06,8.275643987198933e-06,9.56643539851143e-06,1.1467452457947225e-05,1.2430626823545232e-05,1.3205933060200792e-05,1.6163560554449674e-05
380191,157291,222928,992159,914727,99815,596343,339789,427841,133753,7.249386276830805e-07,1.033064263133987e-06,2.2275275124439275e-06,3.6382071205709465e-06,9.918585554213877e-06,1.411250433247524e-05,1.4509800111417448e-05,1.6762156028748976e-05,1.8586112307761304e-05,2.3265393405136336e-05
119261,298360,710855,765627,392539,346249,290305,125231,554177,846444,2.8172782304825006e-06,3.2281788981958215e-06,4.172507697797201e-06,4.603728210539337e-06,6.441802503420746e-06,7.04160389786157e-06,8.848764688984545e-06,9.565142442213848e-06,1.0869198640350852e-05,1.1800979898501929e-05
576759,174590,61693,934463,325233,191085,959108,615619,632095,458188,9.532393515643278e-07,7.652858889928282e-06,8.099909989955911e-06,1.0855003606313751e-05,1.0984392973756307e-05,1.160578948333768e-05,1.427863074054958e-05,1.898508788211739e-05,2.203799446920396e-05,2.464955999359475e-05
585667,993209,826612,489238,448490,871338,158046,193527,394737,997558,4.887427076050166e-06,6.2005675939280636e-06,7.235706960706523e-06,7.876594086075883e-06,7.942297875374038e-06,8.783234011655594e-06,8.794508926102118e-06,1.2153680400639466e-05,1.3617213703076558e-05,1.4161252631983423e-05
638285,435342,344910,886127,320567,50462,237635,12697,784704,961797,1.9649967714086003e-06,2.6856016360765622e-06,3.159979149791603e-06,7.913388695546253e-06,1.0047637295729217e-05,1.0542523526835268e-05,1.5140378357814122e-05,2.1963498855970265e-05,2.2713798577989053e-05,2.2921410352094718e-05
200129,99563,72029,564569,671484,795893,794348,242405,129918,720301,1.6178012792744667e-06,5.388779057535764e-06,5.695909312208869e-06,6.603954593398242e-06,7.847021529117093e-06,8.653917279999312e-06,1.3080190078618159e-05,1.6943811646408236e-05,1.8598987508777753e-05,2.382987575189066e-05
878765,964381,180705,884464,654682,902061,943706,831517,328579,648850,1.1222573802482927e-06,3.339435505456123e-06,3.8026678350622234e-06,7.347147130909448e-06,1.009627032011462e-05,1.2395601848291804e-05,1.2525172526589579e-05,1.5320523617745607e-05,1.5640503938540995e-05,1.6626685111487127e-05
