neighbor_0_id,neighbor_1_id,neighbor_2_id,neighbor_3_id,neighbor_4_id,neighbor_5_id,neighbor_6_id,neighbor_7_id,neighbor_8_id,neighbor_9_id,neighbor_0_dist,neighbor_1_dist,neighbor_2_dist,neighbor_3_dist,neighbor_4_dist,neighbor_5_dist,neighbor_6_dist,neighbor_7_dist,neighbor_8_dist,neighbor_9_dist
86561,612026,208316,217089,277423,204128,536810,921157,867578,125334,8.217975373508375,11.355190864625088,17.828153530881814,20.124050379374356,21.615139729262964,23.899073139167573,24.484662548206206,24.525907394189705,25.730325812421007,26.533333246376568
947759,807162,7143,943371,889916,888189,785538,984568,67977,834650,5.798703031709977,12.578170968878382,13.32690193869417,13.597686543423382,18.375971768001463,19.592498106253753,22.53211192102209,26.693038278778342,26.881140760563376,27.898133524499315
744647,423167,717078,339671,542004,15303,26063,469014,324228,266266,12.566430735868078,14.056834464775994,14.471534701200328,16.552297935822708,17.816327130767828,18.209786240284448,19.821930704499657,21.43065939744263,25.239906141539308,25.269873865762257
992159,152011,466900,471549,157291,798332,882497,977492,632482,146014,3.120691619373866,12.351022600817114,12.776496338718191,15.504913889880893,15.547098515983398,16.992211892484555,18.108094745408508,18.250041917894272,21.55365794931885,23.09167772403974
357910,687274,112135,474101,846737,934503,3858,347710,510874,465459,10.372979830982844,11.312629551250254,18.520125958184337,22.466167367541996,23.400245693566454,23.521352422339444,23.940332406944552,26.221947972238738,27.131937050405295,27.159619919933455
458188,730546,963180,459586,212687,147436,947793,746737,325233,25730,9.358554588785239,14.786840555498367,15.706017426425415,19.23697996301171,21.555332542340448,23.17344285921612,23.857615463498668,24.170191770679487,25.508664166113636,26.399147469053574
384628,796602,26270,887738,325950,587031,874345,180358,363421,735551,10.131646544938391,19.382935909456542,19.921598989287435,20.42748517640476,20.533177970098098,22.20338321126741,22.351598620906387,24.356945704120804,24.528119153009094,27.274333590291015
784704,580231,409003,308059,23093,266629,957905,499797,471499,117880,7.452618055088135,10.187107143805163,15.452306857124515,17.13959983359764,17.78824020494766,18.367349767772467,18.555448338240396,19.76447992088008,22.786039799270927,25.128146422811117
825127,323345,861647,610081,427050,289786,650980,219325,666525,479176,8.198846560424702,11.46953493910671,12.869842803957173,13.992982043231816,16.753775201004732,18.032951242746513,18.492456000330463,18.72218525118829,19.8952748611582,22.18810821101176
42948,395862,328579,827811,659997,14220,333,474458,44972,730760,14.067122769616986,15.119251809629489,15.69100489265127,19.30945940959036,20.893529205263267,23.70538683994107,24.59654130790062,25.162053199889094,26.826374137463606,28.0269951107151
258254,362478,160302,637,688936,52161,607138,405380,847839,567213,7.994754885850115,8.060858750133114,12.215511699623406,13.404405668416217,14.832051858625192,15.730021829830477,18.200693268814945,23.031116641479723,23.473505255644632,25.289302275155926
965385,283672,870148,894050,610190,762191,695953,653131,361453,999927,12.425005677346364,19.33912434167624,21.12306910033408,21.89235934129596,23.884303615318345,24.06070134298689,24.159338679961046,26.31003411025273,26.430820794978047,26.73316690392584
417213,624936,136519,44161,573081,619938,285078,761156,291913,498897,8.195780297932867,17.989817863918276,21.705022705077077,22.344246752732907,22.626014063651272,23.18624888130605,26.484399716146736,26.64806892068555,28.661508302668413,28.847071392598597
686277,33619,801662,637202,151521,644336,786526,698656,948004,282547,9.266604747689005,12.1790912426711,17.381148205993746,20.33857748495537,21.33306791876095,23.711586101962833,23.88234065359516,24.092404735202074,24.382037947811106,24.46477281082318
135425,948547,134214,632624,2174,267624,781221,416978,898546,816678,19.291949158920804,24.367555390969148,25.313533236508516,26.253598568049643,26.839608596523178,27.167512190002263,27.85208355200883,32.148677073542174,32.768479125214725,34.27080694427443
661343,70347,446502,562104,59680,313800,460829,531473,714625,320171,5.099525348988267,16.20014636129321,16.43282894080167,18.541414279786487,18.990374083440877,19.53781349012181,21.233134167633118,21.859159003535105,23.828074685038978,28.450186871883222
670583,149071,830948,622166,292898,639886,772616,684120,736029,478809,10.64280577315892,14.768966411728638,16.090365827860236,16.484406448206858,18.700405187061335,18.777616835652925,20.943906498003845,22.743567421144732,24.399099533048343,24.840273575831816
950019,125903,354917,830728,727085,842341,138735,235743,859284,720338,13.181102546095996,16.449357428184975,19.119742357428063,22.605262369188164,22.69058428991137,22.9507024831279,23.876921276266803,25.03481269913011,27.530500667843633,28.15212673310552
116033,639638,900711,234402,909456,241166,333332,797321,356778,105215,14.897442395895933,15.510565915223966,16.406563728804848,16.841107274305113,18.319749371018013,19.637976357802206,22.30478989212594,22.51706663634291,23.03460608437028,23.653560842505
80281,962141,340853,120512,71011,39210,218483,794387,533114,820188,10.951253975872813,16.501965464391418,21.30092337517812,22.154802094372073,22.40056786150867,22.5373712354869,23.931994696752337,25.558042735132265,26.270806565092144,26.768362899625764
474651,553126,921693,582014,925390,131541,135409,538754,734930,299066,9.98123370955769,13.476027353423223,16.810877568254124,18.50416365994651,19.331781304791196,19.643706923638536,24.55368727274014,25.30487375351505,25.816074303601727,25.9415926009549
299911,50211,357422,542905,144517,783097,606828,282566,994736,797057,10.967675209855381,12.831336723079753,13.350670502958012,15.001167489883718,19.917353585829538,20.91532176250157,21.151520846913886,21.152935724347852,23.312278275872934,24.174070003631726
845732,697516,359208,394086,903328,138219,676373,730642,934889,862291,8.270903534646907,9.389943548634951,13.141814736831774,16.055269109382635,19.240338377321276,20.540814068661923,21.42893779287019,22.402503939165424,23.678363206095142,26.040190582218592
887499,66038,296041,783179,932833,286238,264690,36582,959628,994234,4.541059041443795,9.457605320990274,16.462076230063484,19.433635094472262,20.26504732938824,26.12048880202018,26.194494516465145,26.30261382292886,26.496194317763617,27.35193912623317
660000,941809,945178,594085,456938,982359,748231,676745,356153,905387,12.178749585948738,13.263435858650057,14.112971936377694,15.916039857155166,16.108262792562815,16.70745093514982,17.32832523033806,21.704753857359123,22.166785043262998,23.75735069480362
824675,677078,42410,343387,190961,994827,94686,153560,350267,337482,4.998988762066168,17.06051009111896,20.728015648810207,20.741531122242055,22.660112263530138,24.052741517975527,25.562207268573566,26.360209000448073,26.529337385180543,29.025928657641348
982437,517827,396017,767677,555981,96978,345951,315743,473879,149474,11.688793859926745,12.25312284549142,12.275722432384445,20.098096431302658,22.968748906092554,23.36362303919876,24.560077568432632,26.23327642053749,26.526723066025298,28.591113679620666
989268,418302,87705,772077,315047,415056,277271,450619,545252,418748,14.342832562470731,16.425380401658014,17.08339128210451,20.31297498288933,21.690928388036028,22.619765160817234,22.88968975369156,23.28186797778562,23.29111543188913,23.99767951011747
304061,360674,496677,354579,521413,719181,162835,23663,523689,403676,15.359429563028746,16.430846673501915,17.113492031936442,19.06731985187393,19.123265052384475,20.396228362631422,23.86278999898446,24.25598347933288,24.35962227547176,26.15054319467412
411203,475531,815647,796598,800850,217116,756437,147869,113916,879018,17.022959209725393,17.53988463857379,19.425340834749147,21.46825044041545,25.96624029428942,27.127690804682736,27.869551225160617,29.693205647040674,29.887912664735566,30.060399561943434
705747,658484,555160,748402,8685,698167,263043,180527,380993,947204,9.840127025142403,12.360669649220316,13.44325560564075,13.465310597375014,13.851944515213372,14.46087985671939,15.326813962881927,16.097372474720693,17.380543704015714,17.408830864230055
928821,742456,638780,678490,980552,250934,126279,152975,714522,689606,13.06933285847859,16.355832211184747,17.44232941763741,18.42217166695829,19.459576374625726,21.35700297691879,21.82797167942337,24.889894716084683,25.50435907813776,26.51992263717949
330297,928466,201384,628148,817865,941801,340388,979875,692338,996472,13.903938560323216,15.167648993976421,15.230825933160705,17.306069229316343,18.574631605789634,19.77729728050352,19.833889061081102,22.974725394592628,23.47933565652594,25.061246745674488
229243,256164,758386,540373,334528,866216,723910,714055,915738,666713,5.224262048660575,5.96549968399196,13.199938573567922,13.592095807446945,16.970847695350653,17.642344881370608,19.767594932937318,20.934219162496525,21.560645971692285,23.193714733322714
140634,376015,643415,506434,425504,783942,196406,616047,198475,585240,13.078173388925677,13.675680951454845,17.970873515781637,19.36653446320248,20.06408499292201,22.02815922035962,22.338494599324182,22.784819025838566,23.33379783473837,23.343043246009298
40904,779297,901898,828706,301835,673462,972369,773339,63640,186969,16.249089843751978,16.65323682228604,17.14026982166887,17.513899628865808,19.491121290337276,19.802370156075416,19.82050559020923,19.988080016394015,20.326648287856262,22.669711808956578
458563,757731,165703,562727,925158,671839,852516,746245,651432,595197,15.873618001473645,16.046327489305845,16.18309600792927,19.99182987610089,20.06216304767739,22.944030355776416,24.718794297450827,25.050247341074616,25.441754210973027,25.53790866690696
157045,9117,507418,289740,340544,752433,421441,311068,469512,788763,11.578914740772843,11.978871807644213,13.850000853870972,19.37850020205227,24.34308061711222,25.152340260931858,25.663242062592808,26.011073514053294,26.126737981523164,27.006436480208812
709958,970889,682891,755296,158394,202821,654519,28622,273412,572353,12.538120029783089,13.028533285160538,15.6624113057767,15.827106246762847,18.82999242413883,19.855367089268942,20.83114938293956,21.74828122561225,22.559011375624948,22.734020694482687
544672,331997,972873,668080,84367,280109,577144,507375,473523,104639,4.512237212539188,11.278219286313771,14.972284086249761,15.824407408287584,15.993889388451883,21.748142289919432,23.849527200285966,26.48152618259883,26.958275446252493,27.851349900282003
233500,1763,438340,505094,883215,32739,930660,765784,36393,586074,5.301632905032548,10.630392045291757,11.946843080746701,15.86847201819786,17.49387512422668,20.942557742349262,21.280607871427126,22.732455238917403,23.64048744484365,25.192404135085113
353945,444893,146095,169845,611595,381991,545125,290576,985287,447602,15.672763399357738,16.382191182028382,17.04143157005943,19.487875672736443,20.50567127634382,21.06843994242827,22.39731911417242,22.499592809523335,23.774670513311985,23.816107778364728
767583,500498,927831,264034,449589,55513,585214,630259,131923,728261,13.976850491650373,18.84021275033225,21.027717494564083,22.708527798615854,23.316671669829837,23.408921234087334,23.513201843025303,23.936732564901803,24.92107043221332,27.770239179168236
127571,451906,694138,771691,272281,808110,528479,400918,408359,327713,9.93029909675869,17.38519813982389,18.8973281659763,20.185325347294288,25.528474861264705,26.037779523927018,26.724497093369965,27.00993912100403,27.037303487156265,27.55927524207283
835893,482931,820373,404065,907871,636595,428261,660954,970103,882080,11.148771437623004,16.153074497745006,16.64241747014181,17.28405374210006,19.89102458349989,22.678067325446523,23.17156382299017,23.271739873907247,24.83855999573288,25.921763808823638
60888,703374,171077,211612,818491,528788,968496,502788,794697,224504,21.331674098311694,21.78096103728006,21.957412346856728,22.29868205018599,22.37906301990031,23.608983839593154,24.308419905000456,25.141908888481332,25.748204628760778,26.503299598749813
849291,269065,308702,317483,496746,570869,31338,578006,278799,846105,14.4472663174759,16.15887525567598,20.93355707970336,24.78110162764623,25.025161501686984,25.496131760393343,25.907966587117947,26.46536952384155,26.610218047607635,27.751757599099523
