x,y,z
-213.301127,-458.246882,-885.514922
820.037718,-803.766779,8.311662
-647.560412,-610.664309,946.221422
45.102108,-470.143421,951.119839
-658.469979,-980.335717,830.233454
961.193777,-594.847651,84.328954
-127.861359,565.597192,-591.972977
910.012531,-106.116037,139.918055
-973.896087,540.217831,-26.607537
412.501325,-946.892676,901.401359
-764.846725,908.388241,-970.110490
878.453130,-82.068700,-733.653577
-275.725318,-181.962540,-446.542067
151.288707,348.610304,420.849463
-773.922420,-634.604775,-975.574871
630.002653,-184.208911,-178.997912
-890.752145,-65.365727,664.392164
42.011985,547.845967,-767.455831
-20.488466,451.720079,489.771427
77.728364,-625.106713,92.697063
838.819840,-308.849499,-780.969781
-517.967105,-3.715753,-401.232158
289.469781,505.315515,135.077027
-772.096297,376.150838,392.677309
-493.957651,-260.305832,727.137013
-45.871369,720.942979,342.530205
-997.933579,-628.408775,707.589223
-494.360172,718.643443,202.391098
-743.499357,966.634763,731.717277
-845.105700,589.196470,333.679876
343.752804,855.144048,225.708424
-356.805227,196.589750,-179.128022
-253.723293,259.508324,-182.584060
-99.656983,-934.264720,-604.982941
527.390330,0.222692,-224.243036
346.520029,950.012131,-88.754698
-365.895482,-208.844533,374.469817
731.858625,431.375958,-314.130332
422.846358,452.663217,-700.020229
396.779005,903.483802,151.748439
41.457299,-619.736801,-787.900770
-611.443586,-787.220040,-465.818966
770.718716,763.514837,596.560849
-726.101530,712.340235,248.002065
-49.082861,-869.310247,-808.883873
-514.192016,335.942239,-204.910797
-667.202839,723.147131,-942.884951
-843.861109,554.519847,-10.612148
-279.769940,-831.666799,47.676954
-635.832564,641.250145,-417.638163
-441.792387,-902.599499,23.723759
213.106958,872.860487,-170.552909
-749.443529,775.748194,831.049659
-208.895549,495.873323,-185.834541
-254.301210,-800.278407,-284.897234
885.921328,-178.060148,888.549493
-733.026502,-728.165790,-233.702408
-489.292669,481.542721,-894.101516
-432.810319,460.709852,-655.032554
-839.764672,192.514125,-838.254792
-748.823921,-753.315498,350.111957
536.673281,872.225280,458.822673
-248.187794,-816.030916,81.479201
462.590074,-423.243525,-710.452145
712.266032,-640.863331,981.537992
587.372708,544.249386,-666.618559
-933.508361,-384.119278,172.960832
798.883599,-447.143536,-534.552271
-249.319721,996.785236,-764.185571
622.269623,-88.699634,410.172106
869.448512,99.177830,-212.658473
-36.318479,-466.684154,-446.990947
120.807209,-144.784336,21.501415
373.182902,150.842568,-794.369735
799.563796,665.258022,-62.482709
-130.169913,459.344254,19.233349
653.874656,-675.891604,156.040543
-387.611350,-388.155285,-930.326415
857.457451,885.205872,231.259108
459.406570,184.045523,72.000871
-21.426428,-667.930279,704.634206
380.345448,-132.276020,837.571306
401.549867,913.311556,-318.027722
-178.561963,581.502211,-733.689127
700.583558,450.540646,-221.520830
808.941254,-836.970404,883.332096
829.668642,-821.315602,995.919917
640.477030,-95.446109,-424.209015
-556.903018,751.520324,-825.093830
596.466845,215.267568,15.336077
424.244709,481.574043,264.835167
60.514780,124.505946,404.576921
-686.700321,-632.742455,-554.233988
-776.014911,393.951393,-524.841555
87.912032,915.875991,87.600036
640.903244,833.840759,-352.821645
493.014193,-726.885472,-95.932037
-665.225227,512.986900,-0.392230
-758.701685,44.632457,229.283443
-37.480961,534.682703,-248.432096
859.372578,-896.446284,426.088556
540.306114,-560.205410,688.891530
-568.086494,-698.441635,-950.542108
-634.064879,-773.433724,-197.957267
673.456094,918.638118,-32.424948
802.238543,-180.130109,524.151342
-373.542065,-888.390733,480.247320
-884.267957,-671.457057,366.108915
-714.712792,-829.442993,-510.168538
-300.507741,50.140873,-488.788209
-517.203665,-89.089697,-633.499294
-679.717067,557.642708,-189.669759
-81.889104,-155.966597,-805.692403
-133.074850,948.665344,-344.715521
298.020921,726.884058,64.288515
-722.925210,766.608470,241.708371
-220.230943,688.479924,-901.759712
-290.627604,-872.606853,-586.424902
1.240885,673.448450,296.568835
-740.249371,760.478936,-843.448088
-321.428301,-210.416620,129.122692
-780.545460,-976.088149,472.500151
-981.429503,540.910907,-699.531754
23.334195,-533.836532,393.754957
83.647031,973.622643,634.741076
926.084493,247.397568,-420.153186
625.896953,-25.162104,-219.373296
-712.810889,317.868974,369.014267
-262.610957,376.280176,-990.027676
-657.492076,495.643205,254.123848
-252.016560,852.794721,154.254203
-396.611156,-486.879650,-409.836775
473.821318,-333.453391,-405.943470
416.863354,995.710154,652.612413
590.343655,951.264576,-288.943027
-448.856818,203.966045,399.490413
-600.165835,-487.128643,-193.251782
-648.406863,-295.487380,-0.110258
95.620708,-347.398120,-55.420553
-95.337304,-176.476054,586.105492
-498.385557,450.414437,-716.148142
-240.308790,-482.201716,-96.384381
425.432822,454.454267,98.257650
433.827009,-643.670871,381.505741
-453.748291,709.565740,820.113379
-694.221487,718.657843,-242.194732
-138.111276,-202.078931,873.382353
-974.542036,953.435846,608.992466
-705.153525,-285.743410,-307.450995
-462.125994,587.465852,653.104709
966.563699,78.782770,900.602572
-355.900619,-15.766791,-361.539796
351.819995,-696.543095,-525.226902
-255.338091,797.271671,439.188445
406.016271,-73.021038,-101.983249
641.876120,704.419422,-273.358943
-157.891872,-280.709938,674.595921
-37.566798,224.191893,-349.767207
-218.438175,-235.039370,-218.292966
-565.207739,946.213904,-945.888649
-325.156799,513.528027,274.398355
887.289302,231.154259,-227.535786
189.977052,321.719707,-673.497940
-730.202235,-885.446917,-673.896950
-754.033175,-261.960996,-308.157796
-373.208384,59.298782,105.034359
376.542341,-695.750348,-339.516896
775.589210,587.675101,776.906972
-797.962079,752.488913,903.779489
750.294104,142.734404,-79.941551
541.226400,-55.183065,357.774296
-628.637113,911.478636,205.605473
435.105276,443.198458,-958.610908
362.401230,481.167445,160.988818
983.449768,241.255131,-471.781130
-653.263983,203.677293,422.724852
775.483310,597.946296,-320.418600
197.659104,-792.033327,-877.928239
394.469989,186.787482,-581.295307
-671.352563,-732.640525,51.936802
-996.452628,-975.174527,436.499895
177.690404,938.231727,317.437201
977.341524,-240.938691,296.188605
467.659787,216.086729,-881.719452
585.737703,-527.290649,-686.516166
-844.587494,-982.050594,-998.492566
459.591067,360.277512,-403.234647
867.791506,-563.886225,989.611004
272.431532,-58.184236,546.523718
-692.214290,-163.489592,293.363018
-210.353204,-434.070621,245.750740
165.477499,-890.763500,449.888845
738.920070,-388.900610,-770.452788
-281.358030,-447.180751,352.355580
955.389545,-953.222362,-250.844333
-52.402662,-341.682034,871.940780
796.354507,-881.378648,-48.412815
-4.581821,-166.706509,-884.378442
966.264782,17.430862,281.043869
-468.019802,-10.728101,-220.203831
-494.262743,493.234271,-213.976158
-645.821763,453.379248,218.905657
930.680330,293.230898,-142.980247
-467.138705,-55.180456,459.377618
-611.660602,353.132442,272.202313
661.569714,-96.107250,-641.408880
489.577022,232.971497,961.251683
-497.905124,-769.404347,652.344956
-104.935425,553.579144,76.033624
222.578296,206.858442,489.304607
-987.128111,735.120445,25.508623
-178.943503,364.382906,-66.623780
505.026035,-331.257701,550.275581
-752.253547,997.994937,620.362896
-221.285935,-620.912178,589.111561
-997.671288,0.540943,-177.453282
-920.518283,-502.248494,825.159125
122.728613,-268.405604,846.846242
346.674705,-656.562214,146.194116
-969.052417,-508.110080,373.580012
-130.550258,-680.727234,561.691064
800.657112,-653.668742,192.883888
442.821648,585.280718,302.992012
-292.087347,349.817762,-678.399687
-191.258529,446.531926,-825.433020
494.999752,-966.908201,349.956685
311.216793,126.490991,188.765447
-106.766916,162.611657,-30.461638
554.312591,61.042041,784.000919
-885.627462,700.152481,279.528236
416.016359,-293.526464,-520.732826
-958.665330,914.153484,217.847431
-948.000698,75.646731,326.623084
-945.088734,-651.746846,-780.697140
662.644270,752.025554,-543.045093
-430.098191,-671.021712,913.763254
